senate;0.1938351871020197
democrats;0.18648279801678627
ceiling;0.1771631552066177
000;0.16189854312002286
republicans;0.15984239830010252
raise;0.1459214688311554
democratic;0.1398470020930762
portray;0.13090642860089693
runoff;0.13090642860089693
abolition;0.13090642860089693
candidate;0.12698601292831563
leaders;0.12396421297063107
total;0.12396421297063107
pac;0.12375513958690394
state;0.11758773055521893
aggregate;0.11528558541316575
fallback;0.11528558541316575
opposing;0.11528558541316575
250;0.11528558541316575
of;0.10420242079104003
direct;0.10420242079104003
friday;0.10420242079104003
elections;0.1015888103426525
general;0.09784462117349636
pacs;0.09691759355100985
